Time,Phrase,Site,Count
Wed Mar 22 21:46:20 2017,Notre,http://www.cnn.com/,0
Wed Mar 22 21:46:20 2017,Cub,http://www.cnn.com/,0
Wed Mar 22 21:46:20 2017,Scouts,http://www.cnn.com/,0
Wed Mar 22 21:46:20 2017,CSE30341,http://www.cnn.com/,0
Wed Mar 22 21:46:20 2017,Operating,http://www.cnn.com/,0
Wed Mar 22 21:46:20 2017,Systems,http://www.cnn.com/,0
Wed Mar 22 21:46:20 2017,Striegel,http://www.cnn.com/,0
Wed Mar 22 21:46:20 2017,Thain,http://www.cnn.com/,0
Wed Mar 22 21:46:20 2017,Notre,https://www.nd.edu/,128
Wed Mar 22 21:46:20 2017,Cub,https://www.nd.edu/,0
Wed Mar 22 21:46:20 2017,Scouts,https://www.nd.edu/,0
Wed Mar 22 21:46:20 2017,CSE30341,https://www.nd.edu/,0
Wed Mar 22 21:46:20 2017,Operating,https://www.nd.edu/,0
Wed Mar 22 21:46:20 2017,Systems,https://www.nd.edu/,0
Wed Mar 22 21:46:20 2017,Striegel,https://www.nd.edu/,0
Wed Mar 22 21:46:20 2017,Thain,https://www.nd.edu/,0
